Year,WhenTaking,InformationReasonableTime,AtmosphereWelcoming,LearnedSkills,Material,Recommend,Worth,Pace,HandsOn,TrainersClearAnswers,TrainersConsiderate,TrainersCommunicators,TrainersEnthusiastic,CommentsAboutTrain,NewInformation,AssessmentPre,FeedbackPre,NovicePre,MemoryPre,CognitiveLoadPre,CarpentriesPre,MotivationPre,BackwardsDesignPre,CognitionPre,AssessmentPost,FeedbackPost,NovicePost,MemoryPost,CognitiveLoadPost,CarpentriesPost,MotivationPost,BackwardsDesignPost,CognitionPost,AssessmentMotivation,FeedbackMotivation,NoviceMotivation,MemoryMotivation,CognitiveLoadMotivation,CarpentriesMotivation,Motivation,BackwardsDesignMotivation,CognitionMotivation,LiveCodingBefore,LiveCodingAfter,WebsiteBefore,WebsiteAfter,ConceptMapsBefore,ConceptMapsAfter,MCQBefore,MCQAfter,LearningObjectivesBefore,LearningObjectivesAfter,CompleteTraining,CompleteTrainingOther,Position,PositionOther,Domain,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,DomainOther,WorkshopLocation,Race,RaceOther,Gender,LikelyToRecommend,BestPartComments,ImprovingComments
2017,"I have recently completed the training, and am taking it after I left the event",Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly slow,Slightly too much lecture,Often,All of the time,Often,Often,A bit rambly during the lecture portion. Could be more precise with instructions. ,Some of it,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,No increase in my knowledge,Knowledge increased slightly,No increase in my knowledge,Knowledge increased slightly,No increase in my knowledge,Knowledge increased a great deal,No increase in my knowledge,No increase in my knowledge,No increase in my knowledge,No change in motivation,No change in motivation,No change in motivation,More motivated,More motivated,More motivated,No change in motivation,No change in motivation,No change in motivation,Yes,Confidence increased a bit,Maybe,N/A - Not covered at workshop,Yes,Confidence increased slightly,Yes,No change in confidence,Yes,No change in confidence,"Yes, I understand",,Librarian/archivist,,,,,,,,,,Library and information science,,,,,,,,,Yes,Multiple ethnicity / Other (please specify),Multi-ethnic,Female,7,,"Two 8 hour days is too much. More shorter days is better (cognitive load!). Since this has certification at the end of it, motivation is high to complete despite the spread over days. "
2017,"I have recently completed the training, and am taking it after I left the event",Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Too fast,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,They were all very nice and helpful and if they represent how the community as a whole thinks/works then I'm really looking forward to being part of the Carpentries.,Some of it,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased slightly,No increase in my knowledge,Knowledge increased slightly,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,No,Confidence increased greatly,No,Confidence increased slightly,Yes,Confidence increased slightly,Yes,Confidence increased a bit,Yes,Confidence increased a bit,"Yes, I understand",,Graduate Student,,,,,,,,,"Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,,,,,,,,,Yes,White,,Female,8,Meeting everyone was great and I liked the instructors.  I also really liked the formative assessment section.  ,"I was so, so overwhelmed by the amount of information packed in.  I really feel like this needs to be either a three day course, or there needs to be at least half an hour of content cut out to have proper breaks.  We kept having three hour or longer runs with no breaks and I kept mentally checking out because it was just too much.  I think I would have gotten a lot more out of the course if there was a little less content but chances to get up, stretch, get a snack, etc.    Also, I found the github breakout confusing- it might have been better if they did a live demonstration for that, especially for the people who don't use github a lot."
2017,"I have just completed the training, and am taking it at the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,,Most of it,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Much more motivated,Much more motivated,Much more motivated,More motivated,More motivated,Much more motivated,Much more motivated,Much more motivated,More motivated,No,Confidence increased greatly,No,Confidence increased greatly,Maybe,Confidence increased greatly,Maybe,Confidence increased greatly,Yes,Confidence increased greatly,"Yes, I understand",,Graduate Student,,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,Yes,Asian,,Female,10,The best thing is the very positive interaction with instructors and a lot of people from different backgrounds so we know where we are and what should we learn and practice more. ,It might be better if we can break this training into a little smaller ( like 3-day sessions) I guess. 
2017,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,It will be nice to place the workshop schedule upfront during the workshop,About half of it,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Yes,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,Maybe,Confidence increased greatly,Yes,Confidence increased slightly,"Yes, I understand",,Research staff (including research programmer),,,,,,High performance computing,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,Yes,Asian,,Male,10,,
2017,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Slightly slow,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,,Some of it,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,,No change in motivation,No change in motivation,No change in motivation,Maybe,Confidence increased slightly,Maybe,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,"Yes, I understand",,Librarian/archivist,,,,,,,,,,Library and information science,,,,,,,,,Yes,White,,Male,9,,
2017,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly slow,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,,Some of it,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased slightly,No increase in my knowledge,No increase in my knowledge,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,More motivated,More motivated,No change in motivation,No change in motivation,No change in motivation,More motivated,No change in motivation,More motivated,More motivated,Yes,Confidence increased a bit,Yes,No change in confidence,No,Confidence increased greatly,Maybe,Confidence increased greatly,Yes,Confidence increased slightly,Could use some more details,,Research staff (including research programmer),,,"Civil, mechanical, chemical, or nuclear engineering",,,,,,,,Mathematics/statistics,,Physics,,,,,,No,,,,9,,
2017,"I have just completed the training, and am taking it at the event",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Just right,Balanced (lecture/hands-on),Often,,All of the time,Often,,Most of it,Little or no knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,More motivated,No change in motivation,,Much more motivated,Much more motivated,No change in motivation,More motivated,More motivated,More motivated,Yes,Confidence increased slightly,No,Confidence increased slightly,No,Confidence increased greatly,No,Confidence increased greatly,Yes,Confidence increased slightly,Could use some more details,,Graduate Student,,,"Civil, mechanical, chemical, or nuclear engineering",,,,,,,,,,Physics,,,,,Electronics/Electrotechnical,No,,,,8,,
2017,"I have just completed the training, and am taking it at the event",Agree,Agree,Agree,Agree,Agree,Agree,Slightly slow,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,,Some of it,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,No increase in my knowledge,Knowledge increased a great deal,More motivated,Much more motivated,Much more motivated,No change in motivation,No change in motivation,More motivated,Much more motivated,No change in motivation,More motivated,Yes,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased slightly,No,Confidence increased a bit,No,Confidence increased slightly,Could use some more details,,Other (please specify),Tenure track researcher,Chemistry,,,,,,,,,,,,,,,,,No,,,,7,Great atmosphere,
2017,"I have just completed the training, and am taking it at the event",Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Just right,Slightly too much lecture,Sometimes,All of the time,All of the time,All of the time,"focus on the question that was asked, sometimes there was too much wondering and ended up forgetting the question",Some of it,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased slightly,Knowledge increased a great deal,No increase in my knowledge,No increase in my knowledge,No increase in my knowledge,Knowledge increased a great deal,,N/A - Not covered at this workshop,N/A - Not covered at this workshop,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,Slightly less motivated,No change in motivation,N/A - Topic not covered,N/A - Topic not covered,Yes,Confidence increased a bit,No,,Maybe,No change in confidence,Yes,No change in confidence,Maybe,Confidence increased a bit,Could use some more details,,Support staff (including technical support),,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,No,,,,8,getting negative feedback,"the google doc kept getting slow, disrupting other people writing and scroll down without keeping the focus. i think for more than a couple/three people is not the right tool"
2017,"I have just completed the training, and am taking it at the event",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,,Some of it,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,More motivated,More motivated,More motivated,More motivated,No change in motivation,No change in motivation,More motivated,No change in motivation,,Yes,Confidence increased slightly,Yes,Confidence increased slightly,Yes,Confidence increased slightly,Yes,Confidence increased a bit,Yes,Confidence increased a bit,"Yes, I understand",,Graduate Student,,,,,,High performance computing,,,,,,,Physics,,,,,,No,,,,7,,
2017,"I have just completed the training, and am taking it at the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,they were brilliant. Thank you!! :) :) :),Some of it,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Much more motivated,Much more motivated,No change in motivation,No change in motivation,No change in motivation,More motivated,Much more motivated,No change in motivation,No change in motivation,Maybe,Confidence increased greatly,Yes,No change in confidence,No,Confidence increased a bit,Maybe,Confidence increased greatly,Maybe,Confidence increased a bit,"Yes, I understand",,Research staff (including research programmer),,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,No,,,,10,live coding repeatedly with feedback allowed me to improve. Cool!,"Nope, you guys were great!"
2017,"I have just completed the training, and am taking it at the event",Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,,About half of it,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,No increase in my knowledge,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,No increase in my knowledge,Knowledge increased slightly,No increase in my knowledge,No increase in my knowledge,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No,Confidence increased a bit,No,No change in confidence,Maybe,Confidence increased a bit,Maybe,No change in confidence,Maybe,Confidence increased a bit,"Yes, I understand",,Graduate Student,,,,,,,,,,,Mathematics/statistics,,,,,,,,Yes,White,,Female,6,,
2017,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,,About half of it,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Maybe,Confidence increased greatly,Yes,Confidence increased a bit,No,Confidence increased greatly,Yes,Confidence increased a bit,Yes,Confidence increased a bit,"Yes, I understand",,Support staff (including technical support),,,,,,High performance computing,,,,,,,,,,,,,Yes,White,,Male,10,,
2017,"I have just completed the training, and am taking it at the event",Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Slightly slow,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,,Most of it,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,No change in motivation,More motivated,No change in motivation,Much more motivated,No change in motivation,More motivated,No change in motivation,No change in motivation,No change in motivation,Yes,Confidence increased slightly,No,Confidence increased slightly,Yes,Confidence increased slightly,No,Confidence increased slightly,Yes,Confidence increased a bit,Could use some more details,,Other (please specify),community organizer,,,,,High performance computing,,,,,,,,,,,,,Yes,Prefer not to say,,Male,3,,
2017,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly slow,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,,Some of it,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,No increase in my knowledge,No increase in my knowledge,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,More motivated,More motivated,More motivated,No change in motivation,Yes,Confidence increased slightly,Yes,No change in confidence,Maybe,Confidence increased a bit,Yes,Confidence increased a bit,Maybe,Confidence increased a bit,"Yes, I understand",,Support staff (including technical support),,,,,,High performance computing,,,,,,,,,,,,,Yes,Prefer not to say,,Prefer not to say,10,Christina & bobble-e-head Tracy,
2017,"I have just completed the training, and am taking it at the event",Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,I have an even greater appreciation of how much work it is to be a carpentry instructor.,Most of it,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased a great deal,More motivated,More motivated,More motivated,More motivated,No change in motivation,Much more motivated,More motivated,No change in motivation,More motivated,Maybe,Confidence increased slightly,No,Confidence increased a bit,No,Confidence increased a bit,Maybe,No change in confidence,No,Confidence increased a bit,"Yes, I understand",,Research staff (including research programmer),,,,,,,Humanities,,,,,,,,,,,,Yes,White,,Male,10,NA,NA
2017,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Great job -- thank you!,Most of it,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,More motivated,More motivated,No change in motivation,More motivated,More motivated,Much more motivated,More motivated,More motivated,More motivated,Yes,Confidence increased greatly,No,Confidence increased a bit,Yes,Confidence increased slightly,Yes,Confidence increased slightly,Yes,Confidence increased slightly,"Yes, I understand",,Faculty,,,,,Education,,,,,,,,,,,,,,Yes,White,,Male,9,,
2017,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Christina is the best!,About half of it,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,More motivated,More motivated,More motivated,Much more motivated,Much more motivated,No change in motivation,More motivated,More motivated,More motivated,Yes,Confidence increased a bit,Yes,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,Yes,Confidence increased a bit,"Yes, I understand",,Research staff (including research programmer),,,,,,High performance computing,,,,,Mathematics/statistics,,,,,,,,Yes,White,,Male,10,,
2017,"I have just completed the training, and am taking it at the event",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,,Some of it,Little or no knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Little or no knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,No change in motivation,More motivated,No change in motivation,More motivated,More motivated,Much more motivated,Much more motivated,Much more motivated,No change in motivation,Maybe,Confidence increased a bit,Maybe,Confidence increased a bit,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,"Yes, I understand",,Graduate Student,,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )","Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",,,,,,,,,,Yes,White,,Female,10,I appreciated the pace of the instructors. They read the room well and conducted the discussion appropriately.,I struggled with navigation of the etherpads during the discussion of instructor checkout. Some discussion regarding the pad-of-pads would be helpful. 
2017,"I have recently completed the training, and am taking it after I left the event",Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Just right,Balanced (lecture/hands-on),All of the time,Sometimes,All of the time,Sometimes,,Some of it,Little or no knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Knowledge increased a great deal,Knowledge increased slightly,No increase in my knowledge,No increase in my knowledge,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,No increase in my knowledge,More motivated,No change in motivation,N/A - Topic not covered,No change in motivation,More motivated,Slightly less motivated,No change in motivation,No change in motivation,N/A - Topic not covered,Yes,Confidence increased greatly,Yes,No change in confidence,Maybe,No change in confidence,Yes,Confidence increased a bit,Maybe,Confidence increased a bit,"Yes, I understand",,Research staff (including research programmer),,,,,,,,,,,,,,,,,,Computer science,Yes,White,,Male,9,,"Sue's comments about ""basic levels of intelligence"" and her views on resilience and latent sexism. Those were very cringy, and while I agree that mentioning this is important, getting it right is difficult and she's clearly not an expert on the subject, so I recommend not giving too much detail here running the risk of being wrong and alienating people. I think mentioning it is important, but pointing to external resources for details should be preferred."
2017,"I have recently completed the training, and am taking it after I left the event",Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Too slow,Slightly too much lecture,All of the time,Sometimes,Often,All of the time,"I would give all ""all the time"" answers for Francois, but ""Sometimes"" for Sue (except on enthusiasm and clear --> she gave some weird, inconsiderate examples while talking through 'intelligence' and 'grit')",Some of it,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,More motivated,No change in motivation,No change in motivation,No change in motivation,No change in motivation,More motivated,More motivated,More motivated,No change in motivation,Yes,No change in confidence,Yes,Confidence increased a bit,No,Confidence increased greatly,Yes,Confidence increased a bit,Maybe,Confidence increased a bit,"Yes, I understand",,Librarian/archivist,,,,,,,,,,Library and information science,,,,,,,,,Yes,White,,Female,7,,2 days off for people who full-time is a lot to ask 
2017,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Slightly fast,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,It was good. Interactive,Most of it,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,More motivated,Much more motivated,Much more motivated,More motivated,More motivated,More motivated,Much more motivated,Much more motivated,More motivated,No,Confidence increased greatly,No,Confidence increased greatly,Yes,Confidence increased greatly,Yes,Confidence increased greatly,Maybe,Confidence increased greatly,Could use some more details,,Research staff (including research programmer),,,,,,High performance computing,,,,,Mathematics/statistics,,,,,,,,Yes,Hispanic or Latino(a),,Female,8,explains a code while the trainer is writing a code (live coding),more time to practice the exercises in class.
2017,"I have just completed the training, and am taking it at the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,,Most of it,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,More motivated,Much more motivated,No change in motivation,More motivated,More motivated,Much more motivated,No change in motivation,More motivated,More motivated,Yes,Confidence increased slightly,No,Confidence increased greatly,No,No change in confidence,No,Confidence increased slightly,No,Confidence increased slightly,Could use some more details,,Graduate Student,,Chemistry,,,,High performance computing,,,,,,,,,,,,,Yes,Asian,,Male,10,Learning about memory and cognitive sciences was extremely interesting. This session made me look at teaching in a way I had never done before.,"Maybe the time distribution could be better. For example, more time given towards the practice teaching (90 seconds was way too low). This time could be obtained by making some of the lectures little shorter."
2017,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,,About half of it,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,More motivated,No change in motivation,No change in motivation,More motivated,More motivated,No change in motivation,More motivated,No change in motivation,No change in motivation,Maybe,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased a bit,Yes,Confidence increased a bit,No,Confidence increased a bit,"Yes, I understand",,Support staff (including technical support),,,,Economics/business,,,,,,Library and information science,,,,,,,,,Yes,White,,Male,8,,
