Year,WhenTaking,InformationReasonableTime,AtmosphereWelcoming,LearnedSkills,Material,Recommend,Worth,Pace,HandsOn,TrainersClearAnswers,TrainersConsiderate,TrainersCommunicators,TrainersEnthusiastic,CommentsAboutTrain,NewInformation,AssessmentPre,FeedbackPre,NovicePre,MemoryPre,CognitiveLoadPre,CarpentriesPre,MotivationPre,BackwardsDesignPre,CognitionPre,AssessmentPost,FeedbackPost,NovicePost,MemoryPost,CognitiveLoadPost,CarpentriesPost,MotivationPost,BackwardsDesignPost,CognitionPost,AssessmentMotivation,FeedbackMotivation,NoviceMotivation,MemoryMotivation,CognitiveLoadMotivation,CarpentriesMotivation,Motivation,BackwardsDesignMotivation,CognitionMotivation,LiveCodingBefore,LiveCodingAfter,WebsiteBefore,WebsiteAfter,ConceptMapsBefore,ConceptMapsAfter,MCQBefore,MCQAfter,LearningObjectivesBefore,LearningObjectivesAfter,CompleteTraining,CompleteTrainingOther,Position,PositionOther,Domain,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,DomainOther,WorkshopLocation,Race,RaceOther,Gender,LikelyToRecommend,BestPartComments,ImprovingComments
2018,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly fast,Slightly too much hands-on,Often,All of the time,All of the time,All of the time,,About half of it,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,Maybe,Confidence increased a bit,Maybe,Confidence increased slightly,No,Confidence increased greatly,No,Confidence increased a bit,No,Confidence increased greatly,"Yes, I understand",,Support staff (including technical support),,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,Yes,Prefer not to say,,Prefer not to say,7,,
2018,"I have just completed the training, and am taking it at the event",Agree,Agree,Agree,Agree,Agree,Agree,Just right,Balanced (lecture/hands-on),Often,Often,All of the time,All of the time,,About half of it,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,More motivated,More motivated,More motivated,More motivated,More motivated,Much more motivated,More motivated,More motivated,More motivated,Maybe,Confidence increased slightly,Maybe,Confidence increased greatly,Maybe,Confidence increased slightly,Maybe,Confidence increased a bit,Maybe,Confidence increased a bit,Could use some more details,,Support staff (including technical support),,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,No,,,,10,"learn new technology, new people, and new knowledge",
2018,"I have just completed the training, and am taking it at the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,"I have recently completed the training, and am taking it after I left the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Instructor trainer were well prepared.,About half of it,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Much more motivated,Much more motivated,Much more motivated,Much more motivated,More motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Yes,Confidence increased greatly,Yes,Confidence increased slightly,,Confidence increased greatly,Yes,Confidence increased slightly,Yes,Confidence increased greatly,"Yes, I understand",,Graduate Student,,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,No,,,,10,"Motivation, creating a workable environment and live coding","The content of the workshop was very well aligned to my expectations. I felt  the time was a bit too less for such a wonderful workshop. The venue surroundings was not conducive, but it was great."
2018,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Slightly too much lecture,Often,All of the time,All of the time,All of the time,,About half of it,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,Maybe,Confidence increased slightly,Maybe,Confidence increased slightly,"Yes, I understand",,Support staff (including technical support),,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )","Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)",Library and information science,,,,,,,,,No,,,,10,"The content was great, I really feel I have learnt and internalized principles that will enable me to become a better teacher. I look forward to qualifying as an instructor.",Some more time allocated to practical/group tasks would have been nice as these exercises were really useful.
2018,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Agree,Agree,Agree,Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,The instructors dealt with a very diverse group of people with amazing diplomacy and empathy. I learned a lot from that.,About half of it,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,N/A - Not covered at this workshop,Knowledge increased slightly,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,Much more motivated,N/A - Topic not covered,No change in motivation,No,Confidence increased greatly,No,Confidence increased greatly,Yes,Confidence increased a bit,No,Confidence increased slightly,No,Confidence increased a bit,"Yes, I understand",,Post-doctoral researcher,,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,No,,,,10,The hands-on practice was really good for pushing me out of my comfort zone and I learned a lot through it,"Often it felt like like the lessons were moving too slow, but this is a result of the very mixed group of students and I don't think it can always be changed that drastically."
2018,"I have just completed the training, and am taking it at the event",Agree,Agree,Agree,Agree,Agree,Agree,Slightly slow,Slightly too much lecture,Often,Often,All of the time,All of the time,,Some of it,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased slightly,More motivated,More motivated,Much more motivated,More motivated,More motivated,More motivated,More motivated,No change in motivation,More motivated,Yes,,Yes,,Yes,,Yes,,Yes,,Could use some more details,,Support staff (including technical support),,,,,,High performance computing,,,,,,,,,,,,,No,,,,9,,
2018,"I have just completed the training, and am taking it at the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,"Our trainers were excellent. They were friendly, patient, knowledgeable, excellent communicators. They explained everything so well and made the material accessible to everyone in the room. They created a very friendly relaxed atmosphere - I asked more questions in this workshop than in any other lesson or workshop I've ever been in. This has given me confidence to teach! Thank you!!",Most of it,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Much more motivated,Much more motivated,More motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased a bit,No,Confidence increased a bit,"Yes, I understand",,Post-doctoral researcher,,,,,,,,,,,,,,"Planetary sciences (geology, climatology, oceanography, etc.)",,,,,No,,,,10,The organisation was fantastic. I can relate to the thinking behind carpentry and would like to go further in it. The instructors were excellent. The environment was friendly and helped me to relax and enabled me to practise teaching in order to give me more confidence.,I know it doesn't help to say no comment here. But I really have nothing negative to say about this event. It was so helpful for me and I now feel part of an amazing community.
2018,"I have just completed the training, and am taking it at the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,"Fantastic instructor trainers, big thanks!",About half of it,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,No change in motivation,No change in motivation,No change in motivation,Maybe,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased a bit,Maybe,Confidence increased a bit,Maybe,Confidence increased a bit,"Yes, I understand",,Support staff (including technical support),,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,Medicine and/or Pharmacy,,,,,,,No,,,,10,,
2018,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Slightly slow,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,,About half of it,Little or no knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased slightly,No increase in my knowledge,,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased a great deal,More motivated,More motivated,No change in motivation,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,Maybe,Confidence increased greatly,No,Confidence increased a bit,No,No change in confidence,Yes,Confidence increased a bit,Yes,Confidence increased slightly,"Yes, I understand",,Research staff (including research programmer),,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,No,,,,7,,
2018,"I have just completed the training, and am taking it at the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Slightly too much hands-on,All of the time,All of the time,All of the time,All of the time,,Some of it,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased slightly,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,No change in motivation,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,Yes,Confidence increased a bit,Maybe,Confidence increased slightly,Yes,Confidence increased slightly,Yes,Confidence increased slightly,Yes,Confidence increased slightly,"Yes, I understand",,Faculty,,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,No,,,,10,Instructor enthusiasm,Infrastructure at the venue
2018,"I have just completed the training, and am taking it at the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,,Some of it,Little or no knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,Knowledge increased a great deal,No change in motivation,More motivated,More motivated,More motivated,More motivated,Much more motivated,More motivated,More motivated,More motivated,Yes,No change in confidence,Yes,No change in confidence,No,Confidence increased greatly,Yes,Confidence increased a bit,Yes,No change in confidence,"Yes, I understand",,Faculty,,,,,,,,"Life Sciences (Genetics, genomics, bioinformatics )",,,,,,,,,,,No,,,,8,,
2018,"I have just completed the training, and am taking it at the event",Agree,Strongly Agree,Agree,Agree,Agree,Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,Often,All of the time,,Some of it,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,Knowledge increased slightly,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,Yes,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,"Yes, I understand",,Support staff (including technical support),,Chemistry,,,,High performance computing,,,,,,,,,,,,,Yes,White,,Male,10,,
