slug,tag_name,month,year,day,attendance,fullname,administrator_id,country
2013-05-20-duke,SWC,05,2013,20,40,Duke University,173,US
2013-05-23-ucar,SWC,05,2013,23,16,University Corporation for Atmospheric Research,173,US
2013-05-23-umass,SWC,05,2013,23,39,University of Massachusetts,173,US
2013-05-30-alberta,SWC,05,2013,30,37,University of Alberta,297,CA
2013-06-03-southampton,SWC,06,2013,03,48,University of Southampton,278,GB
2013-06-03-tufts,SWC,06,2013,03,52,Tufts University,173,US
2013-06-04-dssg,SWC,06,2013,04,43,University of Chicago,173,US
2013-06-06-sfu,SWC,06,2013,06,37,Simon Fraser University,297,CA
2013-06-10-salk,SWC,06,2013,09,36,Salk Institute,173,US
2013-06-17-chicago,SWC,06,2013,17,44,University of Chicago,173,US
2013-06-24-wise,"WiSE,SWC",06,2013,24,118,Software Carpentry,173,US
2013-06-25-scipy,SWC,06,2013,25,25,SciPy Conference,173,US
2013-07-01-christchurch,SWC,07,2013,01,19,New Zealand eScience Infrastructure,173,NZ
2013-07-01-oklahoma,SWC,07,2013,01,40,University of Oklahoma,173,US
2013-07-03-oslo,SWC,07,2013,03,31,University of Oslo,306,NO
2013-07-08-wuhan,SWC,07,2013,08,24,Wuhan Institute of Virology,173,CN
2013-07-11-indiana,SWC,07,2013,11,28,Indiana University,173,US
2013-07-15-bath,SWC,07,2013,15,25,University of Bath,278,GB
2013-07-15-vt,SWC,07,2013,15,21,Virginia Tech,173,US
2013-07-16-cuahsi,SWC,07,2013,25,40,Utah State University,173,US
2013-07-18-notredame,SWC,07,2013,18,41,University of Notre Dame,173,US
2013-07-18-washington,SWC,07,2013,18,32,University of Washington,173,US
2013-07-27-cmu,SWC,07,2013,27,38,Carnegie Mellon University,173,US
2013-08-04-esa,SWC,08,2013,04,12,Ecological Society of America,173,US
2013-08-12-ttt-online,"TTT,online",08,2013,12,41,Software Carpentry,173,W3
2013-08-22-ku,SWC,08,2013,22,41,University of Kansas,173,US
2013-08-23-harvard,SWC,08,2013,23,33,Harvard University,173,US
2013-08-27-erdc,SWC,08,2013,27,34,US Army Engineer Research and Development Center,173,US
2013-08-28-wisc,SWC,08,2013,28,34,University of Wisconsin - Madison,173,US
2013-09-05-iowa,SWC,09,2013,05,31,University of Iowa,173,US
2013-09-12-bristol,SWC,09,2013,12,27,University of Bristol,278,GB
2013-09-16-ISI,SWC,09,2013,16,27,Information Sciences Institute,173,US
2013-09-16-stsci,SWC,09,2013,16,18,Space Telescope Science Institute,173,US
2013-09-19-chicago,SWC,09,2013,19,49,University of Chicago,173,US
2013-09-21-uwaterloo,SWC,09,2013,21,44,University of Waterloo,297,CA
2013-09-23-msu,SWC,09,2013,23,37,Michigan State University,173,US
2013-09-24-acpfgA,SWC,09,2013,24,20,Australian Centre for Plant Functional Genomics,173,AU
2013-09-26-ubc,SWC,09,2013,26,24,University of British Columbia,297,CA
2013-09-27-ucl,SWC,09,2013,27,32,University College London,278,GB
2013-09-30-ttt-online,"TTT,online",09,2013,30,57,Software Carpentry,173,W3
2013-10-01-acpfgM,SWC,10,2013,01,27,Australian Centre for Plant Functional Genomics,173,AU
2013-10-03-pasteur,SWC,10,2013,03,19,Pasteur Institute,306,FR
2013-10-09-canberra,SWC,10,2013,09,35,Australian National University,173,AU
2013-10-17-uic,SWC,10,2013,17,40,University of Illinois at Chicago,173,US
2013-10-24-greenwich,SWC,10,2013,24,36,"Greenwich Digital Enterprise, London",278,GB
2013-10-25-columbia,SWC,10,2013,25,27,New York University,173,US
